Date,HSBC,China Mobile,CLP Holdings,China Construction Bank,Haier Smart Home,Xiaomi Corporation
2021-09-30,40.95000076293945,46.95000076293945,75.0,5.579999923706055,27.450000762939453,21.350000381469727
2021-10-04,40.5,46.650001525878906,74.44999694824219,5.480000019073486,27.049999237060547,20.549999237060547
2021-10-05,41.099998474121094,46.900001525878906,74.55000305175781,5.539999961853027,27.700000762939453,20.850000381469727
2021-10-06,42.45000076293945,47.0,74.55000305175781,5.5,27.850000381469727,20.549999237060547
2021-10-07,43.25,47.400001525878906,75.19999694824219,5.519999980926514,27.799999237060547,21.350000381469727
2021-10-08,43.849998474121094,48.29999923706055,75.1500015258789,5.489999771118164,27.75,21.149999618530273
2021-10-11,45.0,48.75,74.75,5.46999979019165,27.149999618530273,21.649999618530273
2021-10-12,44.95000076293945,48.45000076293945,74.5999984741211,5.489999771118164,26.75,21.100000381469727
2021-10-15,46.04999923706055,48.650001525878906,74.80000305175781,5.46999979019165,27.950000762939453,21.25
2021-10-18,46.20000076293945,48.54999923706055,74.8499984741211,5.429999828338623,27.549999237060547,21.350000381469727
2021-10-19,46.150001525878906,48.75,75.0,5.46999979019165,28.149999618530273,22.5
2021-10-20,46.349998474121094,48.79999923706055,75.0,5.460000038146973,27.399999618530273,22.799999237060547
2021-10-21,46.5,49.0,74.94999694824219,5.460000038146973,27.100000381469727,22.450000762939453
2021-10-22,46.5,48.95000076293945,75.05000305175781,5.429999828338623,29.25,22.600000381469727
2021-10-25,46.70000076293945,49.0,74.9000015258789,5.420000076293945,28.850000381469727,22.549999237060547
2021-10-26,47.5,49.150001525878906,75.0999984741211,5.389999866485596,28.700000762939453,22.399999618530273
2021-10-27,47.849998474121094,48.75,75.25,5.349999904632568,28.149999618530273,21.899999618530273
2021-10-28,47.0,48.849998474121094,75.5999984741211,5.329999923706055,29.0,21.850000381469727
2021-10-29,47.150001525878906,48.25,76.1500015258789,5.289999961853027,29.100000381469727,21.350000381469727
2021-11-01,46.95000076293945,48.54999923706055,76.19999694824219,5.329999923706055,28.399999618530273,21.25
2021-11-02,47.04999923706055,48.5,76.44999694824219,5.300000190734863,27.5,21.0
2021-11-03,46.849998474121094,48.150001525878906,75.9000015258789,5.289999961853027,27.450000762939453,20.450000762939453
2021-11-04,47.150001525878906,48.45000076293945,75.8499984741211,5.25,27.600000381469727,20.75
2021-11-05,45.45000076293945,48.70000076293945,75.6500015258789,5.170000076293945,27.5,20.399999618530273
2021-11-08,45.70000076293945,48.25,75.8499984741211,5.260000228881836,27.5,20.350000381469727
2021-11-09,45.54999923706055,48.099998474121094,76.05000305175781,5.21999979019165,27.450000762939453,20.350000381469727
2021-11-10,45.29999923706055,47.95000076293945,75.80000305175781,5.190000057220459,27.649999618530273,20.600000381469727
2021-11-11,45.45000076293945,47.54999923706055,75.75,5.230000019073486,29.100000381469727,21.049999237060547
2021-11-12,45.29999923706055,47.45000076293945,75.30000305175781,5.239999771118164,29.649999618530273,21.149999618530273
2021-11-15,45.20000076293945,47.25,75.75,5.239999771118164,29.600000381469727,21.299999237060547
2021-11-16,45.79999923706055,47.150001525878906,75.55000305175781,5.269999980926514,30.350000381469727,21.799999237060547
2021-11-17,46.0,47.04999923706055,75.55000305175781,5.239999771118164,29.950000762939453,21.75
2021-11-18,46.04999923706055,47.349998474121094,76.1500015258789,5.21999979019165,29.149999618530273,21.149999618530273
2021-11-19,46.04999923706055,47.349998474121094,76.0,5.210000038146973,30.5,21.149999618530273
2021-11-22,45.54999923706055,47.54999923706055,75.80000305175781,5.199999809265137,29.399999618530273,20.899999618530273
2021-11-23,45.5,47.75,75.9000015258789,5.190000057220459,29.299999237060547,20.700000762939453
2021-11-24,46.099998474121094,47.400001525878906,76.9000015258789,5.199999809265137,29.149999618530273,19.260000228881836
2021-11-25,46.150001525878906,47.349998474121094,77.25,5.170000076293945,29.049999237060547,19.579999923706055
2021-11-26,44.349998474121094,46.900001525878906,76.55000305175781,5.099999904632568,29.75,19.059999465942383
2021-11-29,43.75,46.849998474121094,76.80000305175781,5.070000171661377,28.75,19.299999237060547
2021-11-30,42.95000076293945,46.599998474121094,76.4000015258789,5.079999923706055,29.200000762939453,19.280000686645508
2021-12-01,43.5,46.70000076293945,76.3499984741211,5.130000114440918,29.700000762939453,19.559999465942383
2021-12-02,44.0,46.650001525878906,76.1500015258789,5.260000228881836,30.399999618530273,19.520000457763672
2021-12-03,44.849998474121094,46.70000076293945,75.44999694824219,5.329999923706055,30.899999618530273,19.65999984741211
2021-12-06,44.849998474121094,46.20000076293945,75.30000305175781,5.329999923706055,31.200000762939453,19.1200008392334
2021-12-07,45.650001525878906,46.650001525878906,75.44999694824219,5.329999923706055,32.0,19.239999771118164
2021-12-08,45.5,46.599998474121094,75.0,5.269999980926514,31.399999618530273,19.219999313354492
2021-12-09,45.29999923706055,46.54999923706055,74.75,5.329999923706055,33.150001525878906,19.399999618530273
2021-12-10,45.20000076293945,46.20000076293945,75.19999694824219,5.300000190734863,33.04999923706055,19.200000762939453
2021-12-13,45.099998474121094,46.349998474121094,75.0999984741211,5.309999942779541,33.5,19.239999771118164
2021-12-14,44.5,46.099998474121094,75.8499984741211,5.289999961853027,33.0,18.440000534057617
2021-12-15,44.95000076293945,46.5,76.55000305175781,5.28000020980835,32.25,18.0
2021-12-16,45.150001525878906,46.349998474121094,76.5,5.239999771118164,32.5,18.1200008392334
2021-12-17,46.400001525878906,46.45000076293945,77.0,5.309999942779541,32.150001525878906,18.219999313354492
